flight_number,scheduled_departure_date_local,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,ground_time_outlier,departure_delay,arrival_delay,is_delayed,carrier_express,ground_time_pressure,total_pax,lap_child_count,is_child,pax_load_ratio,child_ratio,transfer_ratio,special_req_count,departure_delay_norm,arrival_delay_norm,total_seats_norm,scheduled_ground_time_minutes_norm,actual_ground_time_minutes_norm,minimum_turn_minutes_norm,ground_time_pressure_norm,total_pax_norm,lap_child_count_norm,pax_load_ratio_norm,child_ratio_norm,transfer_ratio_norm,special_req_count_norm,difficulty_score,ground_time_gap,daily_rank,difficulty_class
664,2025-08-02,LGA,2025-08-02 16:00:00+00:00,2025-08-02 19:20:00+00:00,2025-08-02 16:01:00+00:00,2025-08-02 19:10:00+00:00,166,B737-800,274.5,59,51,True,1.0,-10.0,1,0,0.18579234972677597,198,1,11,1.1927710843373494,0.06060606060606061,0.30851063829787234,75,0.021276595744680854,0.05188679245283019,0.16806722689075626,1.0,0.0017403828842345317,0.07142857142857145,0.09289617486338798,0.3615384615384616,0.14285714285714285,0.6132323146675963,0.43123543123543123,0.30851063829787234,0.34449760765550236,0.15045087013836503,215.5,240.0,Easy
1156,2025-08-08,MSY,2025-08-08 19:55:00+00:00,2025-08-08 22:25:00+00:00,2025-08-08 20:14:00+00:00,2025-08-08 22:35:00+00:00,179,B737-900,62.0,61,56,False,19.0,10.0,1,0,0.9032258064516129,215,2,12,1.2011173184357542,0.06511627906976744,0.5867768595041323,80,0.0425531914893617,0.07547169811320754,0.2226890756302521,0.3599397590361446,0.0018003960871391706,0.1160714285714286,0.45161290322580644,0.3942307692307693,0.2857142857142857,0.6178291826852517,0.46332737030411447,0.5867768595041323,0.3684210526315789,0.24934921071831312,1.0,42.0,Difficult
1361,2025-08-11,STL,2025-08-11 21:20:00+00:00,2025-08-11 22:45:00+00:00,2025-08-11 21:40:00+00:00,2025-08-11 23:34:00+00:00,126,A319-100,60.0,52,43,False,20.0,49.0,1,0,0.7166666666666667,137,0,6,1.0873015873015872,0.043795620437956206,0.7244897959183674,48,0.04373522458628842,0.1214622641509434,0.0,0.3539156626506024,0.001530336674068295,0.0,0.35833333333333334,0.24423076923076925,0.0,0.5551427197622065,0.3116226838854576,0.7244897959183674,0.21531100478468898,0.21476144912585202,8.0,94.0,Difficult
2323,2025-08-03,MCO,2025-08-03 09:15:00+00:00,2025-08-03 13:10:00+00:00,2025-08-03 09:09:00+00:00,2025-08-03 12:48:00+00:00,200,A321-2NX,97.0,99,62,False,-6.0,-22.0,0,0,0.6391752577319587,297,2,24,1.485,0.08754208754208755,0.15789473684210525,55,0.013002364066193855,0.03773584905660378,0.31092436974789917,0.46536144578313254,0.0029406469423273124,0.1696428571428571,0.31958762886597936,0.551923076923077,0.2857142857142857,0.7741836779297985,0.6228956228956228,0.15789473684210525,0.24880382775119617,0.15003224742761495,-2.0,238.0,Easy
1414,2025-08-13,BOI,2025-08-13 08:45:00+00:00,2025-08-13 11:43:00+00:00,2025-08-13 08:40:00+00:00,2025-08-13 11:09:00+00:00,150,A320-200,59.0,78,46,False,-5.0,-34.0,0,0,0.7796610169491526,158,0,8,1.0533333333333332,0.05063291139240506,0.44565217391304346,70,0.014184397163120569,0.02358490566037736,0.10084033613445376,0.35090361445783136,0.0023105083118286026,0.0267857142857143,0.3898305084745763,0.28461538461538466,0.0,0.5364339729859684,0.3602726387536514,0.44565217391304346,0.3205741626794258,0.19697828464097258,-19.0,164.0,Medium
1156,2025-08-13,MSY,2025-08-13 19:55:00+00:00,2025-08-13 22:25:00+00:00,2025-08-13 19:56:00+00:00,2025-08-13 22:17:00+00:00,179,B737-MAX9,73.0,62,56,False,1.0,-8.0,1,0,0.7671232876712328,72,0,2,0.4022346368715084,0.027777777777777776,0.4583333333333333,80,0.021276595744680854,0.054245283018867926,0.2226890756302521,0.3930722891566265,0.00183040268859149,0.1160714285714286,0.3835616438356164,0.11923076923076924,0.0,0.177827356059842,0.1976495726495726,0.4583333333333333,0.3684210526315789,0.20114283961889343,11.0,153.0,Medium
247,2025-08-13,OMA,2025-08-13 12:45:00+00:00,2025-08-13 14:22:00+00:00,2025-08-13 12:38:00+00:00,2025-08-13 14:07:00+00:00,150,A320-200,69.0,86,46,False,-7.0,-15.0,0,0,0.6666666666666666,114,0,5,0.76,0.043859649122807015,0.5573770491803278,83,0.011820330969267141,0.04599056603773585,0.10084033613445376,0.3810240963855422,0.0025505611234471585,0.0267857142857143,0.3333333333333333,0.2,0.0,0.3748743279276128,0.31207827260458837,0.5573770491803278,0.3827751196172248,0.20908111626026632,-17.0,130.0,Medium
2378,2025-08-08,LAX,2025-08-08 21:42:00+00:00,2025-08-09 00:15:00+00:00,2025-08-08 21:50:00+00:00,2025-08-08 23:59:00+00:00,200,A321-2NX,77.0,94,62,False,8.0,-16.0,1,0,0.8051948051948052,238,1,15,1.19,0.06722689075630252,0.6794871794871795,47,0.02955082742316785,0.044811320754716985,0.31092436974789917,0.4051204819277109,0.002790613935065715,0.1696428571428571,0.4025974025974026,0.4384615384615385,0.14285714285714285,0.6117060803427022,0.47834518422753713,0.6794871794871795,0.21052631578947367,0.21328063694611324,-17.0,121.0,Medium
2361,2025-08-13,LAX,2025-08-13 07:10:00+00:00,2025-08-13 09:40:00+00:00,2025-08-13 07:07:00+00:00,2025-08-13 09:15:00+00:00,234,B757-300,274.5,498,66,True,-3.0,-25.0,0,0,0.24043715846994534,143,0,5,0.6111111111111112,0.03496503496503497,0.29411764705882354,46,0.016548463356974,0.03419811320754717,0.45378151260504196,1.0,0.014913280921802798,0.2053571428571429,0.12021857923497267,0.2557692307692308,0.0,0.2928705686934476,0.24878967186659495,0.29411764705882354,0.20574162679425836,0.11179124391490937,-223.5,279.0,Easy
1899,2025-08-01,YYC,2025-08-01 20:05:00+00:00,2025-08-01 22:53:00+00:00,2025-08-01 21:19:00+00:00,2025-08-01 23:47:00+00:00,126,A319-100,70.0,102,52,False,74.0,54.0,1,0,0.7428571428571429,178,0,13,1.4126984126984128,0.07303370786516854,0.4044943820224719,48,0.10756501182033097,0.12735849056603774,0.0,0.38403614457831325,0.003030666746684271,0.08035714285714285,0.37142857142857144,0.3230769230769231,0.0,0.7343620229925253,0.5196629213483146,0.4044943820224719,0.21531100478468898,0.22124321969414423,-32.0,92.0,Difficult
2137,2025-08-03,SLC,2025-08-03 09:02:00+00:00,2025-08-03 11:40:00+00:00,2025-08-03 09:00:00+00:00,2025-08-03 11:40:00+00:00,166,B737-800,68.0,76,51,False,-2.0,0.0,0,0,0.75,180,1,9,1.0843373493975903,0.05555555555555555,0.5168539325842697,62,0.01773049645390071,0.06367924528301887,0.16806722689075626,0.3780120481927711,0.0022504951089239635,0.07142857142857145,0.375,0.3269230769230769,0.14285714285714285,0.5535101019543488,0.3952991452991452,0.5168539325842697,0.2822966507177033,0.1975575699558198,-8.0,127.0,Medium
1576,2025-08-10,LGA,2025-08-10 20:00:00+00:00,2025-08-10 23:22:00+00:00,2025-08-10 20:00:00+00:00,2025-08-10 23:34:00+00:00,166,B737-800,80.0,73,51,False,0.0,12.0,0,0,0.6375,170,0,2,1.0240963855421688,0.011764705882352941,0.26,19,0.02009456264775414,0.07783018867924528,0.16806722689075626,0.41415662650602414,0.002160475304567005,0.07142857142857145,0.31875,0.3076923076923077,0.0,0.5203310948914336,0.083710407239819,0.26,0.07655502392344499,0.11109261004071505,7.0,287.0,Easy
2004,2025-08-11,SYR,2025-08-11 13:45:00+00:00,2025-08-11 16:44:00+00:00,2025-08-11 13:53:00+00:00,2025-08-11 16:39:00+00:00,150,A320-200,84.0,102,46,False,8.0,-5.0,1,0,0.5476190476190477,171,3,7,1.14,0.05847953216374269,0.6336633663366337,49,0.02955082742316785,0.05778301886792453,0.10084033613445376,0.4262048192771085,0.003030666746684271,0.0267857142857143,0.27380952380952384,0.3096153846153846,0.42857142857142855,0.5841675044804825,0.41610436347278446,0.6336633663366337,0.22009569377990432,0.18960356885906207,-18.0,163.0,Medium
343,2025-08-02,SFO,2025-08-02 10:53:00+00:00,2025-08-02 13:40:00+00:00,2025-08-02 10:52:00+00:00,2025-08-02 13:23:00+00:00,200,A321-2NX,274.5,1115,62,True,-1.0,-17.0,0,0,0.22586520947176686,274,1,22,1.37,0.08394160583941605,0.265625,104,0.018912529550827423,0.04363207547169812,0.31092436974789917,1.0,0.03342735401788394,0.1696428571428571,0.11293260473588343,0.5076923076923077,0.14285714285714285,0.7108449534466932,0.5972768107804604,0.265625,0.4832535885167464,0.18217728558025706,-840.5,195.0,Medium
2370,2025-08-11,BOS,2025-08-11 14:28:00+00:00,2025-08-11 18:06:00+00:00,2025-08-11 14:28:00+00:00,2025-08-11 18:06:00+00:00,179,B737-900,79.0,69,56,False,0.0,0.0,0,0,0.7088607594936709,201,1,5,1.1229050279329609,0.029850746268656716,0.42424242424242425,81,0.02009456264775414,0.06367924528301887,0.2226890756302521,0.411144578313253,0.002040448898757727,0.1160714285714286,0.35443037974683544,0.36730769230769234,0.14285714285714285,0.5747520807778689,0.2123995407577497,0.42424242424242425,0.3732057416267942,0.20034372519187235,10.0,135.0,Medium
2189,2025-08-01,LGA,2025-08-01 13:00:00+00:00,2025-08-01 16:20:00+00:00,2025-08-01 12:56:00+00:00,2025-08-01 15:56:00+00:00,166,B737-MAX8,96.0,94,60,False,-4.0,-24.0,0,0,0.625,186,1,6,1.1204819277108433,0.03763440860215054,0.07936507936507936,62,0.015366430260047283,0.03537735849056604,0.16806722689075626,0.46234939759036153,0.002790613935065715,0.1517857142857143,0.3125,0.3384615384615385,0.14285714285714285,0.573417506192098,0.26778329197684037,0.07936507936507936,0.2822966507177033,0.13644979535937793,2.0,269.0,Easy
481,2025-08-12,RNO,2025-08-12 19:52:00+00:00,2025-08-12 22:19:00+00:00,2025-08-12 22:01:00+00:00,2025-08-13 00:27:00+00:00,126,B737-700,95.0,51,43,False,129.0,128.0,1,0,0.45263157894736844,77,0,3,0.6111111111111112,0.03896103896103896,0.6712328767123288,54,0.17257683215130024,0.21462264150943394,0.0,0.4593373493975904,0.0015003300726159755,0.0,0.22631578947368422,0.12884615384615383,0.0,0.2928705686934476,0.2772227772227772,0.6712328767123288,0.24401913875598089,0.2545626913991549,44.0,100.0,Difficult
1209,2025-08-15,EWR,2025-08-15 21:25:00+00:00,2025-08-16 00:46:00+00:00,2025-08-15 21:30:00+00:00,2025-08-16 00:46:00+00:00,179,B737-900,67.0,55,56,False,5.0,0.0,1,0,0.835820895522388,218,1,13,1.217877094972067,0.06422018348623854,0.4262295081967213,65,0.02600472813238771,0.06367924528301887,0.2226890756302521,0.375,0.0016203564784252535,0.1160714285714286,0.417910447761194,0.4,0.14285714285714285,0.6270599902368337,0.4569513055751588,0.4262295081967213,0.2966507177033493,0.2036452580834598,12.0,149.0,Medium
2177,2025-08-15,MSN,2025-08-15 14:00:00+00:00,2025-08-15 15:03:00+00:00,2025-08-15 14:30:00+00:00,2025-08-15 15:36:00+00:00,126,A319-100,9.0,42,43,False,30.0,33.0,1,0,2.0,138,2,4,1.0952380952380953,0.043478260869565216,0.7558139534883721,30,0.05555555555555555,0.1025943396226415,0.0,0.20030120481927713,0.0012302706595450998,0.0,1.0,0.24615384615384617,0.2857142857142857,0.5595139222800193,0.30936454849498324,0.7558139534883721,0.1291866028708134,0.2989898510745818,-33.0,17.0,Difficult
909,2025-08-13,AMS,2025-08-13 18:15:00+00:00,2025-08-14 09:20:00+00:00,2025-08-13 18:49:00+00:00,2025-08-14 09:24:00+00:00,243,B787-8,274.5,319,95,True,34.0,4.0,1,0,0.3460837887067395,262,1,6,1.0781893004115226,0.026717557251908396,0.5590909090909091,97,0.060283687943262415,0.06839622641509434,0.4915966386554621,1.0,0.009542099261837605,0.4642857142857143,0.17304189435336975,0.4846153846153846,0.14285714285714285,0.5501239316861994,0.19010569583088666,0.5590909090909091,0.4497607655502392,0.22383203008619063,-44.5,92.0,Difficult
1584,2025-08-05,LAX,2025-08-05 10:50:00+00:00,2025-08-05 13:23:00+00:00,2025-08-05 10:50:00+00:00,2025-08-05 13:03:00+00:00,200,A321-2NX,274.5,739,62,True,0.0,-20.0,0,0,0.22586520947176686,265,5,19,1.325,0.09056603773584905,0.08176100628930817,55,0.02009456264775414,0.040094339622641514,0.31092436974789917,1.0,0.022144871871811796,0.1696428571428571,0.11293260473588343,0.4903846153846155,0.7142857142857142,0.6860602351706955,0.6444121915820028,0.08176100628930817,0.24880382775119617,0.11438936996061502,-464.5,271.0,Easy
2011,2025-08-11,YVR,2025-08-11 08:48:00+00:00,2025-08-11 11:33:00+00:00,2025-08-11 09:00:00+00:00,2025-08-11 11:29:00+00:00,150,A320-200,67.0,103,60,False,12.0,-4.0,1,0,0.8955223880597015,162,0,5,1.08,0.030864197530864196,0.49635036496350365,87,0.034278959810874705,0.0589622641509434,0.10084033613445376,0.375,0.00306067334813659,0.1517857142857143,0.44776119402985076,0.2923076923076923,0.0,0.551121213445819,0.21961063627730293,0.49635036496350365,0.4019138755980861,0.23459752654144114,-36.0,57.0,Difficult
1946,2025-08-15,LGA,2025-08-15 15:00:00+00:00,2025-08-15 18:20:00+00:00,2025-08-15 14:59:00+00:00,2025-08-15 18:15:00+00:00,166,B737-MAX8,105.0,114,51,False,-1.0,-5.0,0,0,0.4857142857142857,196,2,10,1.180722891566265,0.061224489795918366,0.1896551724137931,57,0.018912529550827423,0.05778301886792453,0.16806722689075626,0.4894578313253012,0.003390745964112105,0.07142857142857145,0.24285714285714285,0.3576923076923077,0.2857142857142857,0.6065965132550133,0.4356357927786499,0.1896551724137931,0.25837320574162675,0.13996078414938692,-9.0,271.0,Easy
845,2025-08-12,GRU,2025-08-12 21:20:00+00:00,2025-08-13 09:30:00+00:00,2025-08-12 23:15:00+00:00,2025-08-13 11:30:00+00:00,318,B787-10,274.5,379,155,True,115.0,120.0,1,0,0.5646630236794171,260,1,11,0.8176100628930818,0.046153846153846156,0.6835443037974683,212,0.15602836879432624,0.205188679245283,0.8067226890756302,1.0,0.011342495348976776,1.0,0.28233151183970856,0.4807692307692308,0.14285714285714285,0.4066043096757805,0.32840236686390534,0.6835443037974683,1.0,0.416844977996059,-104.5,7.0,Difficult
2677,2025-08-06,IAD,2025-08-06 17:56:00+00:00,2025-08-06 20:55:00+00:00,2025-08-06 21:10:00+00:00,2025-08-07 00:23:00+00:00,176,B757-200,231.0,412,122,False,194.0,208.0,1,0,0.5281385281385281,160,0,4,0.9090909090909091,0.025,0.40789473684210525,104,0.24940898345153664,0.3089622641509434,0.2100840336134453,0.8689759036144579,0.012332713196903319,0.7053571428571428,0.26406926406926406,0.2884615384615385,0.0,0.45698935413495884,0.1778846153846154,0.40789473684210525,0.4832535885167464,0.31932099942973485,-181.0,39.0,Difficult
767,2025-08-13,DEN,2025-08-13 21:32:00+00:00,2025-08-13 23:22:00+00:00,2025-08-13 22:10:00+00:00,2025-08-13 23:42:00+00:00,200,A321-2NX,22.0,64,62,False,38.0,20.0,1,0,2.0,202,0,5,1.01,0.024752475247524754,0.6962025316455697,44,0.06501182033096926,0.08726415094339622,0.31092436974789917,0.23945783132530124,0.0018904158914961292,0.1696428571428571,1.0,0.36923076923076925,0.0,0.5125672072387114,0.17612338156892612,0.6962025316455697,0.19617224880382775,0.3070391206477826,-42.0,21.0,Difficult
592,2025-08-03,JAC,2025-08-03 16:50:00+00:00,2025-08-03 19:05:00+00:00,2025-08-03 16:59:00+00:00,2025-08-03 18:57:00+00:00,126,B737-700,57.0,89,43,False,9.0,-8.0,1,0,0.7543859649122807,161,2,9,1.2777777777777777,0.06832298136645963,0.5714285714285714,52,0.030732860520094565,0.054245283018867926,0.0,0.34487951807228917,0.0026405809278041174,0.0,0.37719298245614036,0.2903846153846154,0.2857142857142857,0.6600515801897101,0.4861442904921166,0.5714285714285714,0.23444976076555024,0.20429652746375954,-32.0,113.0,Medium
1495,2025-08-05,TVC,2025-08-05 19:52:00+00:00,2025-08-05 22:12:00+00:00,2025-08-05 19:58:00+00:00,2025-08-05 22:25:00+00:00,150,A320-200,57.0,60,46,False,6.0,13.0,1,0,0.8070175438596491,74,1,2,0.49333333333333335,0.04054054054054054,0.47619047619047616,68,0.027186761229314422,0.07900943396226415,0.10084033613445376,0.34487951807228917,0.0017703894856868512,0.0267857142857143,0.40350877192982454,0.12307692307692307,0.14285714285714285,0.22800192332910785,0.28846153846153844,0.47619047619047616,0.3110047846889952,0.20000278663459714,-3.0,136.0,Medium
2100,2025-08-08,SLC,2025-08-08 13:11:00+00:00,2025-08-08 15:40:00+00:00,2025-08-08 13:11:00+00:00,2025-08-08 15:36:00+00:00,166,B737-800,68.0,100,51,False,0.0,-4.0,0,0,0.75,191,2,6,1.1506024096385543,0.041884816753926704,0.5363636363636364,85,0.02009456264775414,0.0589622641509434,0.16806722689075626,0.3780120481927711,0.0029706535437796317,0.07142857142857145,0.375,0.3480769230769231,0.2857142857142857,0.5900070097235557,0.29802658074909383,0.5363636363636364,0.39234449760765544,0.2220121644960195,-32.0,97.0,Difficult
2640,2025-08-05,DCA,2025-08-05 15:00:00+00:00,2025-08-05 18:02:00+00:00,2025-08-05 14:59:00+00:00,2025-08-05 17:48:00+00:00,126,B737-700,119.0,124,51,False,-1.0,-14.0,0,0,0.42857142857142855,59,1,0,0.46825396825396826,0.01694915254237288,0.37037037037037035,34,0.018912529550827423,0.04716981132075472,0.0,0.5316265060240964,0.0036908119786353,0.07142857142857145,0.21428571428571427,0.09423076923076924,0.14285714285714285,0.21418892337281986,0.12059973924380703,0.37037037037037035,0.14832535885167464,0.11848987212761222,-5.0,265.0,Easy
224,2025-08-01,BZN,2025-08-01 09:04:00+00:00,2025-08-01 11:31:00+00:00,2025-08-01 09:10:00+00:00,2025-08-01 11:26:00+00:00,166,B737-800,206.0,84,60,False,6.0,-5.0,1,0,0.2912621359223301,196,1,9,1.180722891566265,0.05102040816326531,0.40310077519379844,68,0.027186761229314422,0.05778301886792453,0.16806722689075626,0.7936746987951808,0.0024905479205425195,0.1517857142857143,0.14563106796116504,0.3576923076923077,0.14285714285714285,0.6065965132550133,0.36302982731554156,0.40310077519379844,0.3110047846889952,0.16258921602418847,122.0,233.0,Easy
2683,2025-08-11,SAN,2025-08-11 14:06:00+00:00,2025-08-11 16:28:00+00:00,2025-08-11 14:02:00+00:00,2025-08-11 16:11:00+00:00,166,B737-800,95.0,114,51,False,-4.0,-17.0,0,0,0.5368421052631579,188,3,4,1.1325301204819278,0.03723404255319149,0.23404255319148937,69,0.015366430260047283,0.04363207547169812,0.16806722689075626,0.4593373493975904,0.003390745964112105,0.07142857142857145,0.26842105263157895,0.34230769230769237,0.42857142857142855,0.5800533076046811,0.2649345335515548,0.23404255319148937,0.3157894736842105,0.15407629839818077,-19.0,243.0,Easy
1616,2025-08-04,GRR,2025-08-04 18:20:00+00:00,2025-08-04 20:35:00+00:00,2025-08-04 18:21:00+00:00,2025-08-04 20:28:00+00:00,179,B737-900,88.0,85,56,False,1.0,-7.0,1,0,0.6363636363636364,161,1,7,0.8994413407821229,0.049689440993788817,0.9175257731958762,85,0.021276595744680854,0.055424528301886794,0.2226890756302521,0.4382530120481928,0.0025205545219948392,0.1160714285714286,0.3181818181818182,0.2903846153846154,0.14285714285714285,0.45167464675677527,0.35355948399426657,0.9175257731958762,0.39234449760765544,0.2553726296138212,3.0,29.0,Difficult
1775,2025-08-10,FLL,2025-08-10 10:45:00+00:00,2025-08-10 15:03:00+00:00,2025-08-10 10:44:00+00:00,2025-08-10 14:52:00+00:00,179,B737-MAX9,75.0,101,56,False,-1.0,-11.0,0,0,0.7466666666666667,246,2,19,1.3743016759776536,0.08536585365853659,0.27450980392156865,69,0.018912529550827423,0.05070754716981132,0.2226890756302521,0.3990963855421687,0.0030006601452319515,0.1160714285714286,0.37333333333333335,0.4538461538461539,0.2857142857142857,0.7132141940515992,0.6074108818011257,0.27450980392156865,0.3157894736842105,0.1861677886364958,-26.0,186.0,Medium
